Year,ID,Name,Path,Warning,Intensity,PresMin,WindSpeedMax,RadiusMax7,RadiusMax10,WarningCnt
2010,201013,"梅姬
(MEGI)",9,"2010-10-21 02:30
2010-10-23 23:30",中度,935,48,250,100,24
2010,201011,"凡那比
(FANAPI )",4,"2010-09-17 23:30
2010-09-20 14:30",中度,940,45,200,80,22
2010,201010,"莫蘭蒂
(MERANTI)",---,"2010-09-09 10:00
2010-09-10 11:30",輕度,990,23,100,---,10
2010,201008,"南修
(NAMTHEUN)",---,"2010-08-30 22:30
2010-08-31 20:30",輕度,995,18,80,---,9
2010,201006,"萊羅克
(LIONROCK)",9,"2010-08-31 20:30
2010-09-02 14:30",輕度,990,23,100,---,15
2009,200917,"芭瑪
(PARMA)",特殊,"2009-10-03 05:30
2009-10-06 17:30",中度,920,43,250,80,29
2009,200908,"莫拉克
(MORAKOT)",3,"2009-08-05 20:30
2009-08-10 05:30",中度,955,40,250,100,36
2009,200906,"莫拉菲
(MOLAVE )",---,"2009-07-16 22:00
2009-07-18 08:30",輕度,978,28,100,---,13
2009,200903,"蓮花
(LINFA )",9,"2009-06-19 20:30
2009-06-22 08:30",輕度,980,28,150,---,21
2008,200815,"薔蜜
(JANGMI)",2,"2008-09-26 23:30
2008-09-29 23:30",強烈,925,53,280,100,25
2008,200814,"哈格比
(HAGUPIT)",---,"2008-09-21 14:30
2008-09-23 08:30",中度,940,45,280,100,15
2008,200813,"辛樂克
(SINLAKU )",2,"2008-09-11 08:30
2008-09-16 14:30",強烈,925,51,250,100,43
2008,200812,"如麗
(NURI )",---,"2008-08-19 11:30
2008-08-21 08:30",中度,955,40,220,80,16
2008,200808,"鳳凰
(FUNG-WONG)",3,"2008-07-26 11:30
2008-07-29 11:30",中度,948,43,220,80,25
2008,200807,"卡玫基
(KALMAEGI)",2,"2008-07-16 14:30
2008-07-18 23:30",中度,970,33,120,50,20
2008,200807,"卡玫基
(KALMAEGI)",2,"2008-07-16 14:30
2008-07-18 23:30",中度,970,33,120,50,---
