Year,ID,Name,Path,Warning,Intensity,PresMin,WindSpeedMax,RadiusMax7,RadiusMax10,WarningCnt
1983,198304,"韋恩
(WAYNE)",5,"1983-07-23 15:30
1983-07-25 20:50",強烈,920,63,250,120,10
1982,198223,"南施
(NANCY)",---,"1982-10-14 08:50
1982-10-15 14:40",強烈,933,58,200,100,6
1982,198220,"肯恩
(KEN)",---,"1982-09-18 15:20
1982-09-22 20:10",強烈,936,55,250,120,18
1982,198215,"費依
(FAYE)",---,"1982-08-26 03:15
1982-08-27 08:55",輕度,961,25,100,---,6
1982,198213,"黛特
(DOT)",4,"1982-08-13 09:40
1982-08-15 20:30",中度,966,33,200,100,11
1982,198212,"西仕
(CECIL)",6,"1982-08-06 10:10
1982-08-10 21:30",強烈,920,55,220,140,20
1982,198210,"安迪
(ANDY)",4,"1982-07-26 15:40
1982-07-30 09:10",強烈,915,60,300,100,16
1982,198207,"蒂絲
(TESS)",---,"1982-07-01 15:30
1982-07-02 09:20",輕度,990,18,100,---,4
1981,198125,"伊瑪
(IRMA)",---,"1981-11-25 09:45
1981-11-26 21:15",輕度,902,28,200,---,7
1981,198123,"蓋伊
(GAY)",---,"1981-10-20 14:00
1981-10-21 09:00",中度,947,45,300,100,4
1981,198119,"葛萊拉
(CLARA)",5,"1981-09-19 09:45
1981-09-22 04:00",強烈,924,58,250,100,12
1981,198117,"艾妮絲
(AGNES)",1,"1981-08-29 16:00
1981-08-31 15:00",中度,947,47,300,120,9
1981,198108,"莫瑞
(MAURY)",1,"1981-07-18 15:50
1981-07-20 08:15",輕度,985,30,180,30,8
1981,198105,"裘恩
(JUNE)",6,"1981-06-18 15:10
1981-06-21 10:00",中度,965,38,250,60,12
1981,198104,"艾克
(IKE)",9,"1981-06-12 15:00
1981-06-14 04:45",輕度,967,30,150,30,8
1980,198021,"貝蒂
(BETTY)",---,"1980-11-06 04:40
1980-11-07 04:00",輕度,928,23,150,---,5
1980,198019,"魏恩
(WYNNE)",---,"1980-10-10 15:30
1980-10-13 04:00",強烈,890,65,300,100,11
1980,198014,"波西
(PERCY)",4,"1980-09-15 15:00
1980-09-19 03:00",強烈,919,60,250,100,15
1980,198012,"諾瑞斯
(NORRIS)",2,"1980-08-26 15:30
1980-08-28 14:30",中度,950,43,250,60,9
1980,198009,"開梅
(KIM)",---,"1980-07-25 10:00
1980-07-27 14:30",中度,908,45,250,100,10
1980,198007,"艾達
(IDA)",5,"1980-07-08 14:30
1980-07-11 15:15",輕度,980,30,200,40,13
1980,198005,"喬琪亞
(GEORGIA)",---,"1980-05-23 15:30
1980-05-25 04:45",輕度,985,28,150,50,7
